workerid,proliferate.condition,condition,item,persona,question,response,scenario,slide_number_in_experiment,error
75,condition1,m,weddingcost,ra,Which phone is Arthur looking at in the picture?,f,Rachel and Arthur have been invited to a wedding.,44,
75,condition1,screen_underinf,car,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking to buy a car. They have three options in mind.,45,
75,condition1,nnm,auntThanksgiving,ra,Which phone is Arthur looking at in the picture?,f,Rachel and Arthur have been invited to spend Thanksgiving with Arthur's aunt.,46,
75,condition1,screen_true,threerestaurants,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler have been recommended three restaurants.,47,
75,condition1,m,movies,ra,Which phone is Arthur looking at in the picture?,f,Rachel and Arthur want to go to the movies. Rachel's phone is dead and she doesn't want to lose track of time.,48,
75,condition1,screen_underinf,conference,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for hotels for a conference out of state.,49,
75,condition1,nnm,cousinsThanksgiving,ra,Which phone is Arthur looking at in the picture?,f,Rachel and Arthur want to go visit their cousins for Thanksgiving.,50,
75,condition1,screen_true,recipes,ra,Which phone is Tyler looking at in the picture?,f,Tyler is looking to cook something new and has a few recipes in mind.,51,
75,condition1,nm,friendsdinner,ra,Which phone is Arthur looking at in the picture?,f,Arthur and Rachel are going to a friend's place for dinner. Rachel needs to first run some errands before going.,52,
75,condition1,screen_false,grandpa,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler want to take their grandpa fishing.,53,
75,condition1,mm,beforedark,ra,Which phone is Arthur looking at in the picture?,j,"Rachel would like to get home before it's dark. Her phone is dead, so she asks Arthur for the time.",54,
75,condition1,screen_false,eating,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are browsing options for eating outside.,55,
75,condition1,m,walkinthepark,ra,Which phone is Arthur looking at in the picture?,f,Rachel would like to take a walk at the park before it gets dark. She asks Arthur for the time.,56,
6,condition1,,training1,,Which of these two phones is the one Tyler is looking at?,j,A recent snowfall could have impacted public transportation. Becky and Tyler are figuring out how to get back home.,5,
6,condition1,,training2,,Which of these two phones is the one Tyler is looking at?,f,A recent snowfall could have impacted public transportation. Becky and Tyler are figuring out how to get back home.,6,
6,condition1,,training3,,Which of these two phones is the one Tyler is looking at?,j,A recent snowfall could have impacted public transportation. Becky and Tyler are figuring out how to get back home.,7,
6,condition1,screen_true,airbnb,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are looking for AirBnB apartments.,9,
6,condition1,mm,hotelroom,ra,Which phone is Arthur looking at in the picture?,j,Arthur and Rachel need to book a hotel room for a night. They've considered different options.,10,
6,condition1,screen_true,weekendhotel,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are considering some hotels for a weekend out of town.,11,
6,condition1,m,trip,ra,Which phone is Arthur looking at in the picture?,f,Rachel and Arthur are planning a trip to visit a friend.,12,
6,condition1,screen_underinf,car,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking to buy a car. They have three options in mind.,13,
6,condition1,mm,food,ra,Which phone is Arthur looking at in the picture?,j,Arthur and Rachel need to order food for an event. The manager just sent their quote.,14,
6,condition1,screen_underinf,van,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for a venue for an event.,15,
6,condition1,mm,picnic,ra,Which phone is Arthur looking at in the picture?,j,"Rachel and Arthur are going to have a picnic, but Rachel needs to stop at home first.",16,
6,condition1,screen_true,business,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler want to book a hotel for a business trip.,17,
6,condition1,nnm,backcountry,ra,Which phone is Arthur looking at in the picture?,f,Rachel and Arthur are planning a trip to visit a friend who lives in the backcountry.,18,
6,condition1,screen_underinf,newapartment,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are looking for a new apartment. They narrowed down their list to three.,19,
6,condition1,nm,friendvisit,ra,Which phone is Arthur looking at in the picture?,f,Rachel and Arthur want to go visit a friend and need to figure out how far she lives from where they are.,20,
6,condition1,screen_underinf,conference,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are looking for hotels for a conference out of state.,21,
6,condition1,m,walkinthepark,ra,Which phone is Arthur looking at in the picture?,f,Rachel would like to take a walk at the park before it gets dark. She asks Arthur for the time.,22,
6,condition1,screen_true,cafes,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler just moved to a new city. They have a list of cafes they want to try.,23,
6,condition1,nnm,planeticket,ra,Which phone is Arthur looking at in the picture?,f,Rachel and Arthur are looking for a one-way plane ticket.,24,
6,condition1,screen_true,bikeride,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler want to go for a bike ride in a park out of town.,25,
6,condition1,m,reuniondistance,ra,Which phone is Arthur looking at in the picture?,f,Rachel has been invited to a friend reunion. She's considering driving there.,26,
6,condition1,screen_false,lake,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler want to go camping on a lake. They have several options.,27,
6,condition1,nm,friendshouse,ra,Which phone is Arthur looking at in the picture?,f,"Rachel and Arthur want to drop by a friend's house. Her phone is dead, so she asks for the time.",28,
6,condition1,screen_underinf,event,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for a venue for an event.,29,
6,condition1,mm,camping,ra,Which phone is Arthur looking at in the picture?,j,Arthur and Rachel are out of town. They are trying to figure out a good spot for a camping trip.,30,
6,condition1,screen_false,tickets,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for tickets for a game.,31,
6,condition1,mm,walk,ra,Which phone is Arthur looking at in the picture?,j,Rachel and Arthur want to go for a walk. Rachel is debating whether it'd be better to grab some food before.,32,
6,condition1,screen_false,apartments,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are apartment hunting. They're visiting three places today.,33,
6,condition1,m,weddingdistance,ra,Which phone is Arthur looking at in the picture?,f,Rachel and Arthur have been invited to a wedding. They're figuring out the logistics.,34,
6,condition1,screen_true,recipes,ra,Which phone is Tyler looking at in the picture?,f,Tyler is looking to cook something new and has a few recipes in mind.,35,
6,condition1,nm,beforedark,ra,Which phone is Arthur looking at in the picture?,f,"Rachel would like to get home before it's dark. Her phone is dead, so she asks Arthur for the time.",36,
6,condition1,screen_underinf,bars,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are visiting a new town. There are some bars nearby.,37,
6,condition1,nnm,reunioncost,ra,Which phone is Arthur looking at in the picture?,f,Rachel and Arthur have been invited to a friend reunion. They're considering driving there.,38,
6,condition1,screen_true,threerestaurants,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler have been recommended three restaurants.,39,
6,condition1,nm,apples,ra,Which phone is Arthur looking at in the picture?,f,"Arthur and Rachel want to go apple picking, but they don't know much about what their area offers.",40,
6,condition1,screen_true,snow,ra,Which phone is Tyler looking at in the picture?,f,"It's snowing, and Becky and Tyler are figuring out if public transit has been impacted.",41,
6,condition1,m,weddingcost,ra,Which phone is Arthur looking at in the picture?,f,Rachel and Arthur have been invited to a wedding.,42,
6,condition1,screen_true,beach,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are on a vacation trip and want to go to the beach.,43,
6,condition1,nm,auntThanksgiving,ra,Which phone is Arthur looking at in the picture?,f,Rachel and Arthur have been invited to spend Thanksgiving with Arthur's aunt.,44,
6,condition1,screen_false,eating,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are browsing options for eating outside.,45,
6,condition1,m,sunny,ra,Which phone is Arthur looking at in the picture?,f,"It's sunny outside, and Rachel would like to go for a walk. She asks Arthur for the time.",46,
6,condition1,screen_false,downstate,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are visiting a friend downstate and want to avoid paying tolls.,47,
6,condition1,nnm,movies,ra,Which phone is Arthur looking at in the picture?,f,Rachel and Arthur want to go to the movies. Rachel's phone is dead and she doesn't want to lose track of time.,48,
6,condition1,screen_underinf,outoftown,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are planning a trip out of town.,49,
6,condition1,nnm,couch,ra,Which phone is Arthur looking at in the picture?,f,"Rachel and Arthur would like to buy a new couch. She has a specific type in mind, so she asks Arthur to look up the price.",50,
6,condition1,screen_true,backpacking,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler want to go on a 3 day backpacking trip.,51,
6,condition1,mm,cousinsThanksgiving,ra,Which phone is Arthur looking at in the picture?,j,Rachel and Arthur want to go visit their cousins for Thanksgiving.,52,
6,condition1,screen_underinf,arearestaurants,ra,Which phone is Tyler looking at in the picture?,f,Becky and Tyler have been recommended some restaurants in the area.,53,
6,condition1,nnm,elena,ra,Which phone is Arthur looking at in the picture?,f,"Elena, a friend of Arthur and Rachel, is in the US for a conference. Arthur and Rachel want to visit her.",54,
6,condition1,screen_false,grandpa,ra,Which phone is Tyler looking at in the picture?,j,Becky and Tyler want to take their grandpa fishing.,55,
6,condition1,nm,friendsdinner,ra,Which phone is Arthur looking at in the picture?,f,Arthur and Rachel are going to a friend's place for dinner. Rachel needs to first run some errands before going.,56,
58,condition1,,training1,,Which of these two phones is the one Tyler is looking at?,j,A recent snowfall could have impacted public transportation. Becky and Tyler are figuring out how to get back home.,5,
58,condition1,,training2,,Which of these two phones is the one Tyler is looking at?,f,A recent snowfall could have impacted public transportation. Becky and Tyler are figuring out how to get back home.,6,
58,condition1,,training3,,Which of these two phones is the one Tyler is looking at?,j,A recent snowfall could have impacted public transportation. Becky and Tyler are figuring out how to get back home.,7,
58,condition1,screen_true,bikeride,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler want to go for a bike ride in a park out of town.,9,
58,condition1,mm,apples,ea,Which phone is Alex looking at in the picture?,j,"Alex and Eva want to go apple picking, but they don't know much about what their area offers.",10,
58,condition1,screen_underinf,event,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for a venue for an event.,11,
58,condition1,nnm,auntThanksgiving,ea,Which phone is Alex looking at in the picture?,f,Eva and Alex have been invited to spend Thanksgiving with Alex's aunt.,12,
58,condition1,screen_true,snow,ea,Which phone is Tyler looking at in the picture?,f,"It's snowing, and Becky and Tyler are figuring out if public transit has been impacted.",13,
58,condition1,nnm,friendsdinner,ea,Which phone is Alex looking at in the picture?,f,Alex and Eva are going to a friend's place for dinner. Eva needs to first run some errands before going.,14,
58,condition1,screen_underinf,conference,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for hotels for a conference out of state.,15,
58,condition1,nm,camping,ea,Which phone is Alex looking at in the picture?,j,Alex and Eva are out of town. They are trying to figure out a good spot for a camping trip.,16,
58,condition1,screen_true,cafes,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler just moved to a new city. They have a list of cafes they want to try.,17,
58,condition1,nnm,weddingcost,ea,Which phone is Alex looking at in the picture?,f,Eva and Alex have been invited to a wedding.,18,
58,condition1,screen_underinf,bars,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are visiting a new town. There are some bars nearby.,19,
58,condition1,mm,weddingdistance,ea,Which phone is Alex looking at in the picture?,j,Eva and Alex have been invited to a wedding. They're figuring out the logistics.,20,
58,condition1,screen_true,airbnb,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are looking for AirBnB apartments.,21,
58,condition1,nm,reuniondistance,ea,Which phone is Alex looking at in the picture?,j,Eva has been invited to a friend reunion. She's considering driving there.,22,
58,condition1,screen_false,downstate,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are visiting a friend downstate and want to avoid paying tolls.,23,
58,condition1,mm,hotelroom,ea,Which phone is Alex looking at in the picture?,j,Alex and Eva need to book a hotel room for a night. They've considered different options.,24,
58,condition1,screen_false,grandpa,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler want to take their grandpa fishing.,25,
58,condition1,m,trip,ea,Which phone is Alex looking at in the picture?,f,Eva and Alex are planning a trip to visit a friend.,26,
58,condition1,screen_false,apartments,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are apartment hunting. They're visiting three places today.,27,
58,condition1,nm,walkinthepark,ea,Which phone is Alex looking at in the picture?,j,Eva would like to take a walk at the park before it gets dark. She asks Alex for the time.,28,
58,condition1,screen_underinf,newapartment,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for a new apartment. They narrowed down their list to three.,29,
58,condition1,nm,movies,ea,Which phone is Alex looking at in the picture?,f,Eva and Alex want to go to the movies. Eva's phone is dead and she doesn't want to lose track of time.,30,
58,condition1,screen_false,lake,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler want to go camping on a lake. They have several options.,31,
58,condition1,nnm,friendvisit,ea,Which phone is Alex looking at in the picture?,f,Eva and Alex want to go visit a friend and need to figure out how far she lives from where they are.,32,
58,condition1,screen_true,beach,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are on a vacation trip and want to go to the beach.,33,
58,condition1,m,backcountry,ea,Which phone is Alex looking at in the picture?,f,Eva and Alex are planning a trip to visit a friend who lives in the backcountry.,34,
58,condition1,screen_true,backpacking,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler want to go on a 3 day backpacking trip.,35,
58,condition1,mm,reunioncost,ea,Which phone is Alex looking at in the picture?,j,Eva and Alex have been invited to a friend reunion. They're considering driving there.,36,
58,condition1,screen_underinf,arearestaurants,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler have been recommended some restaurants in the area.,37,
58,condition1,m,friendshouse,ea,Which phone is Alex looking at in the picture?,f,"Eva and Alex want to drop by a friend's house. Her phone is dead, so she asks for the time.",38,
58,condition1,screen_true,weekendhotel,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are considering some hotels for a weekend out of town.,39,
58,condition1,nm,couch,ea,Which phone is Alex looking at in the picture?,j,"Eva and Alex would like to buy a new couch. She has a specific type in mind, so she asks Alex to look up the price.",40,
58,condition1,screen_false,tickets,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for tickets for a game.,41,
58,condition1,m,food,ea,Which phone is Alex looking at in the picture?,f,Alex and Eva need to order food for an event. The manager just sent their quote.,42,
58,condition1,screen_true,business,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler want to book a hotel for a business trip.,43,
58,condition1,mm,picnic,ea,Which phone is Alex looking at in the picture?,j,"Eva and Alex are going to have a picnic, but Eva needs to stop at home first.",44,
58,condition1,screen_true,threerestaurants,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler have been recommended three restaurants.,45,
58,condition1,m,sunny,ea,Which phone is Alex looking at in the picture?,f,"It's sunny outside, and Eva would like to go for a walk. She asks Alex for the time.",46,
58,condition1,screen_underinf,van,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for a venue for an event.,47,
58,condition1,nm,beforedark,ea,Which phone is Alex looking at in the picture?,j,"Eva would like to get home before it's dark. Her phone is dead, so she asks Alex for the time.",48,
58,condition1,screen_underinf,car,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking to buy a car. They have three options in mind.,49,
58,condition1,mm,cousinsThanksgiving,ea,Which phone is Alex looking at in the picture?,j,Eva and Alex want to go visit their cousins for Thanksgiving.,50,
58,condition1,screen_underinf,outoftown,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are planning a trip out of town.,51,
58,condition1,m,planeticket,ea,Which phone is Alex looking at in the picture?,f,Eva and Alex are looking for a one-way plane ticket.,52,
58,condition1,screen_true,recipes,ea,Which phone is Tyler looking at in the picture?,f,Tyler is looking to cook something new and has a few recipes in mind.,53,
58,condition1,nnm,elena,ea,Which phone is Alex looking at in the picture?,f,"Elena, a friend of Alex and Eva, is in the US for a conference. Alex and Eva want to visit her.",54,
58,condition1,screen_false,eating,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are browsing options for eating outside.,55,
58,condition1,nnm,walk,ea,Which phone is Alex looking at in the picture?,f,Eva and Alex want to go for a walk. Eva is debating whether it'd be better to grab some food before.,56,
121,condition1,,training1,,Which of these two phones is the one Tyler is looking at?,j,A recent snowfall could have impacted public transportation. Becky and Tyler are figuring out how to get back home.,5,
121,condition1,,training2,,Which of these two phones is the one Tyler is looking at?,f,A recent snowfall could have impacted public transportation. Becky and Tyler are figuring out how to get back home.,6,
121,condition1,,training3,,Which of these two phones is the one Tyler is looking at?,j,A recent snowfall could have impacted public transportation. Becky and Tyler are figuring out how to get back home.,7,
121,condition1,screen_true,backpacking,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler want to go on a 3 day backpacking trip.,9,
121,condition1,m,walk,ea,Which phone is Alex looking at in the picture?,f,Eva and Alex want to go for a walk. Eva is debating whether it'd be better to grab some food before.,10,
121,condition1,screen_underinf,bars,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are visiting a new town. There are some bars nearby.,11,
121,condition1,nm,planeticket,ea,Which phone is Alex looking at in the picture?,j,Eva and Alex are looking for a one-way plane ticket.,12,
121,condition1,screen_true,threerestaurants,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler have been recommended three restaurants.,13,
121,condition1,mm,picnic,ea,Which phone is Alex looking at in the picture?,j,"Eva and Alex are going to have a picnic, but Eva needs to stop at home first.",14,
121,condition1,screen_false,tickets,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for tickets for a game.,15,
121,condition1,mm,cousinsThanksgiving,ea,Which phone is Alex looking at in the picture?,j,Eva and Alex want to go visit their cousins for Thanksgiving.,16,
121,condition1,screen_underinf,van,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for a venue for an event.,17,
121,condition1,nnm,trip,ea,Which phone is Alex looking at in the picture?,j,Eva and Alex are planning a trip to visit a friend.,18,
121,condition1,screen_false,lake,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler want to go camping on a lake. They have several options.,19,
121,condition1,mm,camping,ea,Which phone is Alex looking at in the picture?,j,Alex and Eva are out of town. They are trying to figure out a good spot for a camping trip.,20,
121,condition1,screen_true,recipes,ea,Which phone is Tyler looking at in the picture?,f,Tyler is looking to cook something new and has a few recipes in mind.,21,
121,condition1,mm,reuniondistance,ea,Which phone is Alex looking at in the picture?,j,Eva has been invited to a friend reunion. She's considering driving there.,22,
121,condition1,screen_false,downstate,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are visiting a friend downstate and want to avoid paying tolls.,23,
121,condition1,nnm,weddingcost,ea,Which phone is Alex looking at in the picture?,j,Eva and Alex have been invited to a wedding.,24,
121,condition1,screen_underinf,event,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for a venue for an event.,25,
121,condition1,m,movies,ea,Which phone is Alex looking at in the picture?,f,Eva and Alex want to go to the movies. Eva's phone is dead and she doesn't want to lose track of time.,26,
121,condition1,screen_underinf,newapartment,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for a new apartment. They narrowed down their list to three.,27,
121,condition1,nnm,hotelroom,ea,Which phone is Alex looking at in the picture?,j,Alex and Eva need to book a hotel room for a night. They've considered different options.,28,
121,condition1,screen_true,weekendhotel,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are considering some hotels for a weekend out of town.,29,
121,condition1,nnm,backcountry,ea,Which phone is Alex looking at in the picture?,f,Eva and Alex are planning a trip to visit a friend who lives in the backcountry.,30,
121,condition1,screen_false,eating,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are browsing options for eating outside.,31,
121,condition1,nnm,beforedark,ea,Which phone is Alex looking at in the picture?,f,"Eva would like to get home before it's dark. Her phone is dead, so she asks Alex for the time.",32,
121,condition1,screen_true,cafes,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler just moved to a new city. They have a list of cafes they want to try.,33,
121,condition1,mm,couch,ea,Which phone is Alex looking at in the picture?,j,"Eva and Alex would like to buy a new couch. She has a specific type in mind, so she asks Alex to look up the price.",34,
121,condition1,screen_true,business,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler want to book a hotel for a business trip.,35,
121,condition1,nnm,friendshouse,ea,Which phone is Alex looking at in the picture?,f,"Eva and Alex want to drop by a friend's house. Her phone is dead, so she asks for the time.",36,
121,condition1,screen_true,snow,ea,Which phone is Tyler looking at in the picture?,f,"It's snowing, and Becky and Tyler are figuring out if public transit has been impacted.",37,
121,condition1,nm,sunny,ea,Which phone is Alex looking at in the picture?,j,"It's sunny outside, and Eva would like to go for a walk. She asks Alex for the time.",38,
121,condition1,screen_true,airbnb,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are looking for AirBnB apartments.,39,
121,condition1,m,elena,ea,Which phone is Alex looking at in the picture?,f,"Elena, a friend of Alex and Eva, is in the US for a conference. Alex and Eva want to visit her.",40,
121,condition1,screen_true,beach,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are on a vacation trip and want to go to the beach.,41,
121,condition1,mm,auntThanksgiving,ea,Which phone is Alex looking at in the picture?,j,Eva and Alex have been invited to spend Thanksgiving with Alex's aunt.,42,
121,condition1,screen_true,bikeride,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler want to go for a bike ride in a park out of town.,43,
121,condition1,m,apples,ea,Which phone is Alex looking at in the picture?,f,"Alex and Eva want to go apple picking, but they don't know much about what their area offers.",44,
121,condition1,screen_underinf,conference,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking for hotels for a conference out of state.,45,
121,condition1,nm,friendsdinner,ea,Which phone is Alex looking at in the picture?,j,Alex and Eva are going to a friend's place for dinner. Eva needs to first run some errands before going.,46,
121,condition1,screen_underinf,arearestaurants,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler have been recommended some restaurants in the area.,47,
121,condition1,m,friendvisit,ea,Which phone is Alex looking at in the picture?,f,Eva and Alex want to go visit a friend and need to figure out how far she lives from where they are.,48,
121,condition1,screen_false,apartments,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are apartment hunting. They're visiting three places today.,49,
121,condition1,m,walkinthepark,ea,Which phone is Alex looking at in the picture?,f,Eva would like to take a walk at the park before it gets dark. She asks Alex for the time.,50,
121,condition1,screen_underinf,car,ea,Which phone is Tyler looking at in the picture?,j,Becky and Tyler are looking to buy a car. They have three options in mind.,51,
121,condition1,nm,reunioncost,ea,Which phone is Alex looking at in the picture?,j,Eva and Alex have been invited to a friend reunion. They're considering driving there.,52,
121,condition1,screen_underinf,outoftown,ea,Which phone is Tyler looking at in the picture?,f,Becky and Tyler are planning a trip out of town.,53,
